code_id,forestry _income,forestry_population
39 ,2790 ,
40 ,3028 ,
41 ,10757 ,
42 ,4302 ,
43 ,5670 ,
44 ,12849 ,19807 
45 ,7786 ,19790 
46 ,6387 ,19705 
47 ,5030 ,20141 
48 ,15113 ,19337 
49 ,19677 ,18695 
50 ,11741 ,17921 
51 ,8110 ,17227 
52 ,8644 ,16713 
53 ,7721 ,15555 
11 ,8152 ,
12 ,10805 ,
13 ,7740 ,
14 ,6123 ,
15 ,7018 ,
16 ,8180 ,94688 
17 ,7693 ,88331 
18 ,8277 ,96164 
19 ,6947 ,91603 
20 ,6590 ,89424 
21 ,6773 ,80672 
22 ,8126 ,82567 
23 ,8605 ,77124 
24 ,22823 ,73318 
25 ,22373 ,70338 