code_id,type,year,total,chimyeopsu,hwalyeopsu,honhyorim
1,area,"1,972.00","6,596,728.00","3,305,692.00","1,208,242.00","1,210,270.00"
2,area,"1,973.00","6,566,185.00","3,316,516.00","1,216,662.00","1,200,820.00"
3,area,"1,974.00","6,640,839.00","3,211,226.00","1,038,030.00","1,676,526.00"
4,area,"1,975.00","6,575,352.00","3,200,841.00","1,038,653.00","1,676,587.00"
5,area,"1,976.00","6,613,455.00","3,185,545.00","1,146,717.00","1,680,238.00"
6,area,"1,977.00","6,593,069.00","3,177,778.00","1,181,918.00","1,693,228.00"
7,area,"1,978.00","6,578,322.00","3,178,049.00","1,228,823.00","1,680,573.00"
8,area,"1,979.00","6,570,663.00","3,193,388.00","1,252,469.00","1,666,617.00"
9,area,"1,980.00","6,567,772.00","3,249,122.00","1,148,282.00","1,898,952.00"
10,area,"1,981.00","6,562,885.00","3,256,058.00","1,150,277.00","1,880,672.00"
11,area,"1,982.00","6,553,713.00","3,259,928.00","1,158,454.00","1,860,075.00"
12,area,"1,983.00","6,546,779.00","3,273,636.00","1,156,737.00","1,846,815.00"
13,area,"1,984.00","6,539,558.00","3,280,049.00","1,160,729.00","1,832,426.00"
14,area,"1,985.00","6,531,102.00","3,280,676.00","1,158,499.00","1,823,027.00"
15,area,"1,986.00","6,523,966.00","3,270,056.00","1,181,704.00","1,830,627.00"
16,area,"1,987.00","6,499,082.00","3,269,038.00","1,186,634.00","1,834,529.00"
17,area,"1,988.00","6,491,494.00","3,233,674.00","1,265,145.00","1,783,648.00"
18,area,"1,989.00","6,484,704.00","3,191,026.00","1,292,010.00","1,790,166.00"
19,area,"1,990.00","6,476,030.00","3,078,827.00","1,389,215.00","1,809,717.00"
20,area,"1,991.00","6,467,665.00","2,984,177.00","1,551,451.00","1,740,023.00"
21,area,"1,992.00","6,463,764.00","2,893,624.00","1,673,275.00","1,722,493.00"
22,area,"1,993.00","6,459,834.00","2,889,911.00","1,672,839.00","1,718,307.00"
23,area,"1,994.00","6,455,550.00","2,882,721.00","1,668,884.00","1,714,405.00"
24,area,"1,995.00","6,451,885.00","2,876,829.00","1,668,200.00","1,710,368.00"
25,area,"1,996.00","6,447,936.00","2,845,806.00","1,673,782.00","1,727,532.00"
26,area,"1,997.00","6,441,304.00","2,787,750.00","1,685,730.00","1,778,649.00"
27,area,"1,998.00","6,436,304.00","2,741,514.00","1,675,229.00","1,838,760.00"
28,area,"1,999.00","6,430,001.00","2,727,122.00","1,676,359.00","1,851,072.00"
29,area,"2,000.00","6,422,128.00","2,711,421.00","1,665,550.00","1,885,247.00"
30,area,"2,001.00","6,415,920.00","2,691,562.00","1,671,827.00","1,896,405.00"
31,area,"2,002.00","6,411,893.00","2,674,003.00","1,683,326.00","1,905,017.00"
32,area,"2,003.00","6,406,332.00","2,719,725.00","1,659,949.00","1,876,150.00"
33,area,"2,004.00","6,400,301.00","2,706,987.00","1,665,893.00","1,873,349.00"
34,area,"2,005.00","6,393,949.00","2,698,574.00","1,659,128.00","1,874,586.00"
35,area,"2,006.00","6,389,393.00","2,695,398.00","1,660,019.00","1,868,951.00"
36,area,"2,007.00","6,382,449.00","2,686,649.00","1,661,535.00","1,861,655.00"
37,area,"2,008.00","6,374,875.00","2,679,803.00","1,659,173.00","1,853,447.00"
38,area,"2,009.00","6,370,304.00","2,671,924.00","1,657,271.00","1,844,205.00"
39,area,"2,010.00","6,368,843.00","2,580,629.00","1,718,916.00","1,864,925.00"
40,area,"2,011.00","6,347,783.00","2,569,343.00","1,719,130.00","1,854,844.00"
41,area,"2,012.00","6,339,843.00","2,562,546.00","1,719,182.00","1,843,613.00"
42,area,"2,013.00","6,339,463.00","2,557,293.00","1,717,921.00","1,837,837.00"
43,area,"2,014.00","6,339,423.00","2,557,336.00","1,717,801.00","1,837,668.00"
44,area,"2,015.00","6,334,615.00","2,339,022.00","2,028,855.00","1,705,876.00"
45,area,"2,016.00","6,326,285.00","2,333,473.00","2,025,432.00","1,702,530.00"
46,area,"2,017.00","6,318,007.00","2,328,812.00","2,021,102.00","1,699,143.00"
47,area,"2,018.00","6,305,962.00","2,320,999.00","2,017,892.00","1,693,370.00"
48,area,"2,019.00","6,299,276.00","2,313,756.00","2,012,333.00","1,688,141.00"
49,area,"2,020.00","6,298,134.00","2,324,085.00","2,005,883.00","1,666,251.00"
50,density,"1,972.00","72,696,140.00","33,634,440.00","25,682,608.00","13,379,092.00"
51,density,"1,973.00","74,466,041.00","34,236,730.00","26,436,095.00","13,793,216.00"
52,density,"1,974.00","102,457,960.00","39,169,625.00","32,734,392.00","30,553,943.00"
53,density,"1,975.00","105,352,224.00","40,244,730.00","33,526,463.00","31,581,031.00"
54,density,"1,976.00","108,161,444.00","41,166,147.00","34,351,794.00","32,643,503.00"
55,density,"1,977.00","111,011,200.00","42,125,215.00","35,165,929.00","33,720,056.00"
56,density,"1,978.00","113,999,637.00","43,195,241.00","36,030,721.00","34,773,675.00"
57,density,"1,979.00","117,281,414.00","44,476,804.00","36,975,921.00","35,828,689.00"
58,density,"1,980.00","145,694,050.00","65,829,008.00","41,095,016.00","38,770,026.00"
59,density,"1,981.00","151,549,542.00","68,566,864.00","42,546,210.00","40,436,468.00"
60,density,"1,982.00","157,755,628.00","71,534,596.00","44,065,941.00","42,155,091.00"
61,density,"1,983.00","164,361,662.00","74,730,298.00","45,639,752.00","43,991,612.00"
62,density,"1,984.00","171,946,138.00","78,254,286.00","47,615,719.00","46,076,133.00"
63,density,"1,985.00","179,380,859.00","81,848,828.00","49,331,398.00","48,200,633.00"
64,density,"1,986.00","192,931,012.00","89,583,219.00","50,923,439.00","52,424,354.00"
65,density,"1,987.00","200,801,936.00","93,421,925.00","51,667,172.00","55,712,839.00"
66,density,"1,988.00","216,359,135.00","98,752,264.00","56,925,387.00","60,681,484.00"
67,density,"1,989.00","233,969,797.00","107,309,168.00","60,194,292.00","66,466,337.00"
68,density,"1,990.00","248,426,292.00","113,868,995.00","64,509,236.00","70,048,061.00"
69,density,"1,991.00","257,297,636.00","116,996,906.00","71,426,130.00","68,874,600.00"
70,density,"1,992.00","272,386,544.00","122,832,498.00","77,112,485.00","72,441,561.00"
71,density,"1,993.00","283,829,270.00","128,419,487.00","79,760,457.00","75,649,326.00"
72,density,"1,994.00","295,806,056.00","134,293,901.00","82,521,550.00","78,990,605.00"
73,density,"1,995.00","308,825,576.00","140,641,238.00","85,674,394.00","82,509,944.00"
74,density,"1,996.00","323,780,332.00","144,843,208.00","90,207,561.00","88,729,563.00"
75,density,"1,997.00","340,824,225.00","150,980,458.00","94,575,237.00","95,268,530.00"
76,density,"1,998.00","363,560,555.00","158,466,782.00","98,443,319.00","106,650,454.00"
77,density,"1,999.00","387,758,222.00","167,514,462.00","105,143,357.00","115,100,403.00"
78,density,"2,000.00","407,575,822.00","174,941,489.00","110,129,478.00","122,504,855.00"
79,density,"2,001.00","428,346,859.00","182,452,354.00","116,024,101.00","129,870,404.00"
80,density,"2,002.00","448,455,855.00","189,431,468.00","121,541,973.00","137,482,414.00"
81,density,"2,003.00","468,167,965.00","201,063,585.00","124,774,281.00","142,330,099.00"
82,density,"2,004.00","489,061,098.00","209,302,985.00","132,857,957.00","146,900,156.00"
83,density,"2,005.00","506,376,806.00","216,660,346.00","136,451,482.00","153,264,978.00"
84,density,"2,006.00","525,832,466.00","225,763,961.00","141,045,583.00","159,022,922.00"
85,density,"2,007.00","624,398,315.00","273,080,625.00","165,729,516.00","185,588,174.00"
86,density,"2,008.00","659,120,238.00","290,440,648.00","173,420,863.00","195,258,727.00"
87,density,"2,009.00","696,828,205.00","309,789,401.00","181,629,227.00","205,409,577.00"
88,density,"2,010.00","800,025,299.00","336,337,314.00","215,318,806.00","248,369,179.00"
89,density,"2,011.00","827,981,840.00","348,090,477.00","222,843,029.00","257,048,333.00"
90,density,"2,012.00","848,760,644.00","356,826,060.00","228,435,437.00","263,499,148.00"
91,density,"2,013.00","872,606,615.00","366,851,105.00","234,853,341.00","270,902,169.00"
92,density,"2,014.00","901,809,800.00","379,128,368.00","242,713,086.00","279,968,346.00"
93,density,"2,015.00","924,809,875.00","403,971,330.00","263,738,277.00","257,100,268.00"
94,density,"2,016.00","950,485,691.00","418,381,572.00","267,998,565.00","264,105,554.00"
95,density,"2,017.00","973,599,553.00","431,674,881.00","271,526,154.00","270,398,518.00"
96,density,"2,018.00","995,079,158.00","444,240,616.00","274,600,819.00","276,237,723.00"
97,density,"2,019.00","1,016,996,467.00","456,995,374.00","277,802,392.00","282,198,701.00"
98,density,"2,020.00","1,040,447,273.00","470,244,854.00","281,517,557.00","288,684,862.00"