code_id,temperature,water,humidity,wind,sunshine,sunenergy
1,12.5,864.6,64.5,2.15,2453.45,4910.855
2,12.65,998.6,65.5,2.05,2336.55,4496.635
3,13.3,1315.95,65.5,2,2365.15,4688.935
4,13.9,1770.3,66.5,2,2030.2,4241.035
5,13.1,1715.85,63.5,2.05,2278.5,4592.56
6,13.05,1255.7,61.5,2,2179,4942.08
7,13.15,1033.2,61.5,1.9,2258.45,4970.415
8,12.95,1603.6,63.5,2.1,2227,5206.425
9,12.85,1949.35,67,1.9,1975.15,4515.62
10,13.75,1424.75,63,2,2384.5,5015.17
11,12.85,1176.3,62.5,2.1,2382.95,5256.22
12,13.3,1433.7,66,2,2119.9,4831.415
13,13.8,1354.9,66.5,1.95,2106.7,5118.32
14,13.35,877.75,65,2.05,2307.95,5452.63
15,13.55,1085.95,62.5,2.05,2212.35,5339.165
16,13.1,1335.2,65.5,2.05,2229.35,5185.65
17,13,1466.65,63.5,2.1,2220.65,5165.89
18,12.8,1498.8,63.5,2.1,2407.1,5268.35
19,13.5,1084.1,63,2.05,2549.8,5445.965
20,13.45,1321.9,64.5,1.95,2347.85,4754.195
21,13.75,1018.7,66.5,1.95,2390.2,4876.65
22,14,1439.65,67,1.9,2387.35,4826.78
23,13.65,827.3,62,1.9,2676.7,5069.12
24,13.5,1453.25,65,1.9,2557.65,4495.305
25,14,1376.4,66,1.75,2532.45,5510.8
26,13.6,1630.15,68.5,1.8,2475.35,5514.915
27,13.85,1343.85,69,1.75,2451.55,5504.36
28,13.65,919.95,64.5,1.8,2589.55,5779.91
29,11.3,1253.8,68,1.95,2154.85,4636.85
30,11.05,1160.95,69.5,1.85,2060.25,4562.425
31,11.85,1327.75,66.5,1.9,2219.95,4637.79
32,12.75,1699.35,68.5,2.05,1947.9,4197.845
33,12.3,1682.35,65,2.15,2220.7,4496.385
34,11.85,1197.3,63,2.05,2016.15,4377.93
35,11.8,1055.45,61,1.95,2058.25,4703.02
36,11.8,1562.65,62,2,2017.2,4695.04
37,11.55,1910.2,67,1.9,1782.1,4515.695
38,12.6,1514.95,62.5,2.1,2180.35,5037.36
39,11.6,1484.55,61.5,2.1,2170.65,5100.31
40,11.95,1753.05,65,2.05,1842.25,4737.955
41,12.55,1359.95,66,2,1827.15,4630.245
42,12.35,1280.3,64.5,2,2078.3,5009.45
43,12.25,1369.55,63.5,2,2059.6,4990.73
44,11.85,1309.5,64.5,1.9,1892.25,4751.535
45,11.5,1821.1,64,1.85,1996.85,4789.58
46,11.5,1260.35,64,1.95,2138,5021.71
47,12.2,1243.65,66,1.9,2332.05,4841.905
48,12.7,984.15,65,1.85,2326.5,4657.82
49,12.85,938.45,64.5,1.85,2466.1,5125.82
50,12.8,1193.25,64.5,1.75,2257.35,5000.085
51,12.45,1157.85,60.5,1.75,2428.8,5296.59
52,12.25,1493.3,62,1.8,2474.45,5349.805
53,12.05,1154.7,64.5,1.7,2532.35,5274.055
54,11.75,1678.8,67.5,1.8,2384.25,5163.81
55,11.85,1135.15,68,1.75,2376.4,5193.47
56,11.45,1485.4,65.5,1.75,2447.15,5281.16